FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	52084	49307	61076	42506

Fo	147.12	153.04	145.80	153.02

Fm	682.09	691.88	692.78	687.31

Fv	534.97	538.83	546.98	534.29

Fm_L1	487.40	502.11	500.74	506.13

Fm_L2	370.47	384.62	402.29	376.06

Fm_L3	360.32	348.58	372.61	338.64

Fm_D1	424.71	462.09	470.40	443.85

Fm_D2	533.78	549.91	544.03	540.84

Ft_L1	474.39	497.18	492.33	491.12

Ft_L2	347.13	354.11	385.65	350.47

Ft_L3	321.93	324.82	338.20	308.59

Fq_L1	13.01	4.93	8.41	15.00

Fq_L2	23.34	30.50	16.63	25.59

Fq_L3	38.39	23.76	34.41	30.05

QY_max	0.78	0.78	0.79	0.78
