FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	55878	40571	58633	74683

Fo	149.80	150.25	154.26	155.64

Fm	695.90	696.09	698.82	691.90

Fv	546.09	545.84	544.55	536.26

Fm_L1	524.00	507.01	501.88	492.88

Fm_L2	401.97	413.35	384.96	398.86

Fm_L3	372.32	342.71	348.56	347.87

Fm_D1	441.08	450.03	457.31	434.52

Fm_D2	556.59	569.43	564.72	540.47

Ft_L1	507.33	490.43	486.28	474.27

Ft_L2	372.34	373.04	368.95	381.63

Ft_L3	331.75	314.30	312.03	311.47

Fq_L1	16.67	16.57	15.60	18.62

Fq_L2	29.63	40.31	16.01	17.23

Fq_L3	40.58	28.41	36.53	36.41

QY_max	0.78	0.78	0.78	0.78
