FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	39349	48834	74866	71239

Fo	151.11	163.53	150.25	159.28

Fm	679.20	702.91	699.85	691.60

Fv	528.09	539.38	549.60	532.32

Fm_L1	508.54	532.49	520.38	519.22

Fm_L2	405.33	409.34	391.22	392.91

Fm_L3	336.65	338.07	351.50	370.91

Fm_D1	424.48	467.34	446.04	470.42

Fm_D2	569.37	555.59	569.85	578.13

Ft_L1	503.05	518.31	512.40	507.42

Ft_L2	368.27	386.22	373.49	354.70

Ft_L3	306.01	315.37	314.01	346.22

Fq_L1	5.49	14.18	7.98	11.81

Fq_L2	37.06	23.11	17.73	38.21

Fq_L3	30.64	22.70	37.48	24.69

QY_max	0.78	0.77	0.79	0.77
