FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	75216	42509	67764	60094

Fo	146.25	152.43	149.76	151.59

Fm	678.50	702.79	707.71	697.18

Fv	532.25	550.36	557.95	545.60

Fm_L1	482.81	499.84	520.73	497.92

Fm_L2	394.33	397.16	413.52	387.38

Fm_L3	343.07	338.29	377.84	352.50

Fm_D1	435.52	459.46	468.33	462.42

Fm_D2	547.40	581.09	564.25	570.15

Ft_L1	477.40	486.75	502.97	478.65

Ft_L2	372.73	373.12	387.43	350.62

Ft_L3	309.11	298.11	339.20	313.47

Fq_L1	5.41	13.09	17.76	19.27

Fq_L2	21.61	24.04	26.09	36.76

Fq_L3	33.95	40.18	38.65	39.03

QY_max	0.78	0.78	0.79	0.78
