FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	66042	54749	63423	70581

Fo	146.04	148.15	150.33	159.60

Fm	674.44	682.76	671.84	695.10

Fv	528.41	534.62	521.52	535.49

Fm_L1	509.27	491.24	492.95	521.78

Fm_L2	402.94	373.53	402.82	416.69

Fm_L3	345.61	339.47	336.16	363.06

Fm_D1	457.96	440.82	463.16	471.06

Fm_D2	558.58	538.23	562.12	566.00

Ft_L1	504.06	484.53	482.29	514.48

Ft_L2	363.96	337.47	372.41	377.17

Ft_L3	305.64	311.61	314.65	326.41

Fq_L1	5.21	6.71	10.67	7.30

Fq_L2	38.98	36.06	30.41	39.52

Fq_L3	39.97	27.86	21.52	36.65

QY_max	0.78	0.78	0.78	0.77
