FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	63501	45723	69776	41635

Fo	149.91	157.30	154.64	149.57

Fm	673.79	670.54	674.69	685.77

Fv	523.88	513.24	520.05	536.21

Fm_L1	508.87	507.97	493.11	503.53

Fm_L2	367.10	362.85	374.95	387.25

Fm_L3	330.12	351.52	350.71	340.43

Fm_D1	462.98	430.30	424.37	469.55

Fm_D2	529.83	549.43	535.89	564.06

Ft_L1	489.51	492.97	489.45	499.49

Ft_L2	346.76	327.48	358.67	364.97

Ft_L3	299.59	320.24	325.12	311.45

Fq_L1	19.36	15.00	3.66	4.04

Fq_L2	20.34	35.37	16.28	22.28

Fq_L3	30.53	31.28	25.59	28.98

QY_max	0.78	0.77	0.77	0.78
