FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	64581	52995	42117	49128

Fo	146.96	147.89	152.32	147.95

Fm	704.98	720.34	698.74	692.15

Fv	558.02	572.46	546.42	544.20

Fm_L1	500.11	511.16	530.17	519.97

Fm_L2	421.80	401.05	404.79	401.27

Fm_L3	361.86	387.66	374.67	359.52

Fm_D1	457.95	457.03	469.99	466.02

Fm_D2	579.08	604.23	555.47	579.52

Ft_L1	487.22	505.78	525.98	514.16

Ft_L2	390.80	362.00	364.75	380.29

Ft_L3	332.33	345.25	331.76	329.12

Fq_L1	12.89	5.37	4.19	5.81

Fq_L2	31.00	39.05	40.04	20.98

Fq_L3	29.53	42.41	42.91	30.40

QY_max	0.79	0.79	0.78	0.79
