FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	55744	71833	70453	49867

Fo	150.96	143.56	151.30	151.03

Fm	681.31	692.09	669.05	674.63

Fv	530.35	548.53	517.75	523.60

Fm_L1	480.22	499.78	472.75	474.07

Fm_L2	408.58	398.56	394.41	370.26

Fm_L3	333.89	339.23	327.61	343.60

Fm_D1	445.45	465.86	440.43	460.01

Fm_D2	534.59	560.83	545.12	551.57

Ft_L1	467.90	480.87	469.06	459.09

Ft_L2	387.88	375.98	373.91	335.94

Ft_L3	297.50	311.15	298.93	307.67

Fq_L1	12.33	18.91	3.68	14.98

Fq_L2	20.71	22.58	20.50	34.32

Fq_L3	36.39	28.08	28.68	35.93

QY_max	0.78	0.79	0.77	0.78
