FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	45934	70466	59522	63373

Fo	150.02	149.33	141.48	142.56

Fm	687.13	693.89	675.60	677.90

Fv	537.11	544.56	534.12	535.33

Fm_L1	509.59	500.01	495.09	501.52

Fm_L2	383.23	377.12	391.26	367.56

Fm_L3	340.64	336.39	352.56	336.12

Fm_D1	443.82	478.44	429.78	464.59

Fm_D2	558.22	563.00	565.40	561.12

Ft_L1	505.48	491.39	487.67	490.64

Ft_L2	355.95	350.79	359.95	336.24

Ft_L3	317.41	302.12	318.83	314.02

Fq_L1	4.11	8.63	7.42	10.88

Fq_L2	27.28	26.33	31.31	31.32

Fq_L3	23.23	34.27	33.73	22.10

QY_max	0.78	0.78	0.79	0.79
