FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	64069	65646	40082	42742

Fo	149.05	147.05	149.40	151.18

Fm	701.67	712.10	715.48	717.76

Fv	552.63	565.05	566.09	566.59

Fm_L1	533.15	517.06	536.30	529.81

Fm_L2	404.72	391.14	414.76	421.79

Fm_L3	371.99	360.72	364.81	370.51

Fm_D1	443.46	466.68	488.91	472.65

Fm_D2	589.12	585.47	583.22	587.90

Ft_L1	515.86	500.90	516.44	525.03

Ft_L2	381.32	353.84	387.52	402.18

Ft_L3	332.72	322.21	327.88	327.60

Fq_L1	17.28	16.16	19.86	4.77

Fq_L2	23.39	37.30	27.24	19.62

Fq_L3	39.26	38.52	36.93	42.91

QY_max	0.79	0.79	0.79	0.79
