FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	40010	54555	45888	68464

Fo	152.84	157.80	152.33	155.93

Fm	695.39	708.86	712.83	694.55

Fv	542.55	551.05	560.50	538.62

Fm_L1	508.93	497.32	531.05	513.59

Fm_L2	406.24	417.48	415.41	387.70

Fm_L3	338.92	365.68	346.88	342.94

Fm_D1	454.15	445.55	471.42	473.19

Fm_D2	563.58	567.65	572.57	580.29

Ft_L1	498.30	481.83	520.37	498.21

Ft_L2	382.96	384.36	374.56	351.06

Ft_L3	301.20	334.70	319.02	308.76

Fq_L1	10.63	15.49	10.68	15.39

Fq_L2	23.28	33.12	40.85	36.64

Fq_L3	37.72	30.98	27.87	34.18

QY_max	0.78	0.78	0.79	0.78
