FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	70848	66727	74308	65291

Fo	147.66	144.81	147.73	153.22

Fm	689.08	706.73	691.84	682.76

Fv	541.42	561.92	544.11	529.54

Fm_L1	520.10	518.41	496.30	501.03

Fm_L2	377.38	403.31	393.56	371.97

Fm_L3	345.26	364.06	353.39	333.08

Fm_D1	449.61	479.32	470.65	463.87

Fm_D2	568.56	554.58	563.02	548.23

Ft_L1	503.46	508.52	487.63	483.54

Ft_L2	359.27	372.89	364.22	348.73

Ft_L3	316.42	326.87	320.80	302.24

Fq_L1	16.64	9.89	8.67	17.49

Fq_L2	18.11	30.43	29.34	23.24

Fq_L3	28.83	37.19	32.59	30.84

QY_max	0.79	0.80	0.79	0.78
