FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	58591	54274	44884	71358

Fo	150.51	152.57	150.33	146.32

Fm	732.33	732.46	724.56	718.73

Fv	581.82	579.90	574.23	572.41

Fm_L1	513.65	541.56	526.82	511.76

Fm_L2	429.95	404.25	408.08	407.40

Fm_L3	394.49	361.70	366.14	376.98

Fm_D1	464.99	454.66	459.61	478.79

Fm_D2	584.26	607.55	570.23	585.63

Ft_L1	497.60	536.07	519.08	496.40

Ft_L2	388.78	366.24	380.57	387.03

Ft_L3	355.13	325.80	343.83	340.76

Fq_L1	16.05	5.50	7.74	15.36

Fq_L2	41.17	38.02	27.51	20.37

Fq_L3	39.36	35.90	22.32	36.22

QY_max	0.79	0.79	0.79	0.80
