FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	63990	57011	42256	73540

Fo	145.93	146.55	146.73	152.46

Fm	673.30	685.21	694.22	699.48

Fv	527.37	538.66	547.49	547.02

Fm_L1	471.60	484.11	521.89	519.64

Fm_L2	369.73	395.76	388.82	380.35

Fm_L3	325.64	364.03	358.80	357.69

Fm_D1	441.37	470.45	464.71	465.82

Fm_D2	536.24	534.47	580.13	573.59

Ft_L1	464.65	465.98	512.17	508.71

Ft_L2	347.38	374.94	370.61	350.22

Ft_L3	291.19	342.12	337.22	315.19

Fq_L1	6.95	18.14	9.72	10.93

Fq_L2	22.34	20.82	18.21	30.13

Fq_L3	34.45	21.92	21.58	42.50

QY_max	0.78	0.79	0.79	0.78
