FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	59714	74114	39472	61402

Fo	159.36	153.34	159.84	157.57

Fm	742.10	744.27	745.03	724.28

Fv	582.74	590.94	585.18	566.71

Fm_L1	557.72	562.47	547.54	510.24

Fm_L2	403.56	431.84	405.52	406.15

Fm_L3	365.19	373.00	365.52	352.05

Fm_D1	476.32	492.28	503.59	458.99

Fm_D2	607.74	618.21	581.73	599.00

Ft_L1	544.33	544.19	539.86	490.76

Ft_L2	378.91	411.16	389.18	386.06

Ft_L3	328.86	346.95	324.12	321.97

Fq_L1	13.39	18.29	7.68	19.48

Fq_L2	24.65	20.68	16.33	20.09

Fq_L3	36.33	26.06	41.40	30.09

QY_max	0.79	0.79	0.79	0.78
