FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	48064	54925	51195	40195

Fo	148.32	150.94	151.59	147.49

Fm	702.38	726.52	710.53	722.97

Fv	554.06	575.58	558.93	575.47

Fm_L1	500.91	531.25	538.42	515.87

Fm_L2	410.98	401.41	408.86	427.02

Fm_L3	353.15	349.91	345.97	378.02

Fm_D1	438.75	456.37	456.04	480.23

Fm_D2	547.94	572.03	567.89	570.31

Ft_L1	495.11	514.73	530.22	506.50

Ft_L2	384.07	366.22	381.14	388.97

Ft_L3	313.06	315.20	320.33	342.97

Fq_L1	5.79	16.52	8.19	9.37

Fq_L2	26.91	35.19	27.71	38.05

Fq_L3	40.08	34.71	25.64	35.05

QY_max	0.79	0.79	0.79	0.80
