FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	59582	74397	49702	59008

Fo	152.18	146.01	153.11	145.00

Fm	686.10	694.92	693.45	695.14

Fv	533.92	548.91	540.34	550.13

Fm_L1	494.34	523.61	522.45	511.66

Fm_L2	373.77	407.01	395.61	415.83

Fm_L3	337.59	335.58	347.46	359.37

Fm_D1	434.38	453.36	439.02	465.15

Fm_D2	562.61	552.44	571.63	576.87

Ft_L1	479.93	509.30	502.83	507.22

Ft_L2	357.40	388.82	363.95	376.38

Ft_L3	304.85	314.02	315.07	326.91

Fq_L1	14.41	14.31	19.62	4.44

Fq_L2	16.37	18.19	31.66	39.45

Fq_L3	32.74	21.56	32.40	32.45

QY_max	0.78	0.79	0.78	0.79
