FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	38177	68163	42268	51282

Fo	145.82	149.67	154.68	147.82

Fm	675.56	690.75	687.85	687.26

Fv	529.74	541.09	533.17	539.44

Fm_L1	489.28	501.07	501.00	488.79

Fm_L2	372.63	406.20	383.88	387.24

Fm_L3	346.82	372.54	334.02	354.52

Fm_D1	450.60	438.50	433.11	444.60

Fm_D2	529.30	555.69	570.49	570.40

Ft_L1	484.87	497.58	493.23	469.44

Ft_L2	344.27	366.00	362.56	370.36

Ft_L3	306.29	345.83	312.21	315.97

Fq_L1	4.41	3.49	7.77	19.35

Fq_L2	28.37	40.20	21.32	16.88

Fq_L3	40.54	26.71	21.81	38.55

QY_max	0.78	0.78	0.78	0.78
