FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	74013	58203	70766	41944

Fo	149.99	151.51	145.65	150.83

Fm	701.56	708.42	687.84	693.19

Fv	551.57	556.91	542.19	542.37

Fm_L1	531.12	517.17	496.18	510.51

Fm_L2	411.24	418.65	373.25	384.14

Fm_L3	362.58	380.76	352.18	347.90

Fm_D1	479.07	463.64	445.43	430.20

Fm_D2	579.20	577.62	549.15	559.52

Ft_L1	522.13	511.35	477.53	500.90

Ft_L2	384.04	384.77	349.68	354.15

Ft_L3	325.54	343.87	324.32	314.56

Fq_L1	8.99	5.83	18.66	9.60

Fq_L2	27.20	33.88	23.57	29.99

Fq_L3	37.04	36.89	27.86	33.33

QY_max	0.79	0.79	0.79	0.78
