FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	62960	72557	63850	69943

Fo	139.09	150.39	152.21	140.61

Fm	683.12	655.37	668.98	669.56

Fv	544.02	504.98	516.77	528.95

Fm_L1	486.98	462.41	488.78	490.53

Fm_L2	405.20	374.78	379.67	368.33

Fm_L3	328.20	347.87	332.75	348.91

Fm_D1	444.60	450.36	444.44	435.82

Fm_D2	550.65	547.79	537.15	533.72

Ft_L1	475.11	447.30	482.45	481.29

Ft_L2	373.58	348.72	344.53	331.86

Ft_L3	298.09	311.79	306.85	309.29

Fq_L1	11.88	15.11	6.33	9.23

Fq_L2	31.62	26.06	35.14	36.47

Fq_L3	30.11	36.07	25.90	39.62

QY_max	0.80	0.77	0.77	0.79
