FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	38380	43555	51083	45502

Fo	150.04	147.79	152.79	151.22

Fm	725.98	726.62	719.29	720.40

Fv	575.94	578.83	566.50	569.18

Fm_L1	534.36	537.75	520.48	510.48

Fm_L2	411.97	405.19	413.78	390.19

Fm_L3	371.47	386.87	374.57	347.44

Fm_D1	472.21	462.79	453.93	464.20

Fm_D2	609.52	582.32	575.87	580.59

Ft_L1	524.91	533.56	502.97	500.48

Ft_L2	383.39	380.32	388.84	357.77

Ft_L3	349.17	349.20	341.71	312.21

Fq_L1	9.45	4.18	17.51	10.00

Fq_L2	28.58	24.87	24.94	32.42

Fq_L3	22.30	37.68	32.86	35.23

QY_max	0.79	0.80	0.79	0.79
