FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	72166	63355	64094	50705

Fo	144.54	149.68	149.06	147.53

Fm	708.71	696.42	693.12	714.81

Fv	564.17	546.74	544.06	567.28

Fm_L1	511.75	495.62	506.96	538.78

Fm_L2	397.35	417.32	394.82	404.55

Fm_L3	380.71	350.37	341.23	358.38

Fm_D1	485.10	447.42	460.26	452.85

Fm_D2	584.46	556.47	548.06	559.53

Ft_L1	503.37	482.46	503.82	525.99

Ft_L2	376.71	394.06	359.86	369.55

Ft_L3	347.04	322.37	305.79	324.16

Fq_L1	8.38	13.16	3.14	12.79

Fq_L2	20.64	23.26	34.96	35.00

Fq_L3	33.67	28.00	35.44	34.22

QY_max	0.80	0.79	0.78	0.79
