FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	52040	52796	49398	52381

Fo	150.78	153.15	154.47	147.72

Fm	716.16	715.46	700.12	722.31

Fv	565.38	562.31	545.65	574.59

Fm_L1	513.94	507.76	503.14	505.66

Fm_L2	418.00	407.51	408.12	394.44

Fm_L3	344.89	344.29	352.17	357.98

Fm_D1	456.35	460.49	450.52	448.32

Fm_D2	592.75	579.43	549.97	604.75

Ft_L1	503.73	488.73	488.54	493.25

Ft_L2	388.66	372.75	373.79	369.86

Ft_L3	313.94	311.06	328.72	334.33

Fq_L1	10.20	19.03	14.60	12.41

Fq_L2	29.33	34.77	34.34	24.58

Fq_L3	30.95	33.23	23.45	23.66

QY_max	0.79	0.79	0.78	0.80
