FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	41958	45897	63789	54017

Fo	152.78	154.58	151.52	151.02

Fm	695.38	682.97	702.59	702.17

Fv	542.60	528.40	551.08	551.15

Fm_L1	488.83	485.77	513.47	523.53

Fm_L2	409.15	405.84	401.85	415.88

Fm_L3	348.49	355.37	372.74	374.93

Fm_D1	451.76	462.27	439.16	477.88

Fm_D2	560.63	560.27	583.75	553.01

Ft_L1	473.24	480.31	496.36	514.92

Ft_L2	374.75	373.35	372.53	383.57

Ft_L3	318.89	327.67	336.21	349.49

Fq_L1	15.59	5.46	17.11	8.61

Fq_L2	34.40	32.49	29.32	32.31

Fq_L3	29.60	27.70	36.53	25.44

QY_max	0.78	0.77	0.78	0.78
