FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	41631	61998	53797	51053

Fo	159.62	153.44	148.50	147.38

Fm	723.68	695.63	726.65	727.04

Fv	564.06	542.19	578.15	579.65

Fm_L1	515.90	504.22	527.45	530.82

Fm_L2	404.89	409.77	392.88	405.76

Fm_L3	348.36	371.27	369.11	353.11

Fm_D1	483.94	442.13	453.47	457.86

Fm_D2	589.44	573.85	596.36	575.22

Ft_L1	507.86	495.20	516.52	509.77

Ft_L2	366.18	387.43	366.31	369.62

Ft_L3	309.54	334.33	342.85	313.62

Fq_L1	8.04	9.02	10.92	21.05

Fq_L2	38.71	22.34	26.56	36.14

Fq_L3	38.82	36.94	26.26	39.49

QY_max	0.78	0.78	0.80	0.80
