FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	53789	75967	63165	48658

Fo	148.65	148.83	150.76	148.93

Fm	721.19	721.02	723.94	725.56

Fv	572.54	572.19	573.18	576.63

Fm_L1	541.96	507.03	517.18	514.64

Fm_L2	391.91	390.30	393.17	414.76

Fm_L3	361.46	380.17	371.57	360.28

Fm_D1	474.36	459.37	494.97	461.42

Fm_D2	596.59	600.32	569.07	602.52

Ft_L1	522.06	487.38	510.78	495.50

Ft_L2	375.89	354.11	363.35	395.21

Ft_L3	331.28	348.92	330.88	329.31

Fq_L1	19.90	19.65	6.40	19.14

Fq_L2	16.02	36.19	29.82	19.55

Fq_L3	30.17	31.25	40.68	30.97

QY_max	0.79	0.79	0.79	0.79
