FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	49194	66992	38897	63591

Fo	153.12	147.16	150.61	150.76

Fm	716.78	712.49	689.33	729.32

Fv	563.65	565.33	538.71	578.55

Fm_L1	535.93	537.25	516.49	548.16

Fm_L2	416.26	409.29	409.40	398.24

Fm_L3	384.34	352.37	366.45	391.54

Fm_D1	444.83	450.48	440.74	460.04

Fm_D2	583.62	592.63	552.23	593.21

Ft_L1	520.58	533.21	504.04	544.04

Ft_L2	383.76	384.36	377.54	379.30

Ft_L3	353.16	323.80	326.09	366.47

Fq_L1	15.35	4.04	12.45	4.12

Fq_L2	32.50	24.93	31.86	18.95

Fq_L3	31.19	28.57	40.36	25.07

QY_max	0.79	0.79	0.78	0.79
