FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	46803	54947	46027	66138

Fo	149.39	152.88	152.77	150.32

Fm	672.57	685.12	691.82	674.62

Fv	523.18	532.24	539.05	524.30

Fm_L1	475.11	487.77	515.63	503.17

Fm_L2	388.06	390.67	393.29	400.41

Fm_L3	349.49	333.71	338.26	329.09

Fm_D1	446.05	425.13	429.90	428.92

Fm_D2	540.52	572.60	579.86	558.88

Ft_L1	465.85	472.96	507.99	486.15

Ft_L2	354.99	363.56	374.45	368.97

Ft_L3	310.85	304.80	305.56	298.13

Fq_L1	9.26	14.81	7.64	17.01

Fq_L2	33.07	27.11	18.84	31.44

Fq_L3	38.64	28.91	32.69	30.96

QY_max	0.78	0.78	0.78	0.78
