FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	65708	54080	45750	70523

Fo	152.12	155.17	155.55	152.42

Fm	718.01	729.91	722.43	738.68

Fv	565.89	574.75	566.88	586.27

Fm_L1	534.10	526.37	516.25	534.87

Fm_L2	428.67	394.29	408.18	400.03

Fm_L3	363.29	373.83	360.96	396.12

Fm_D1	466.37	480.95	494.76	481.54

Fm_D2	576.28	570.69	579.97	602.76

Ft_L1	522.69	514.76	498.58	530.65

Ft_L2	387.19	356.45	385.13	373.91

Ft_L3	325.88	349.71	329.54	366.39

Fq_L1	11.41	11.62	17.66	4.22

Fq_L2	41.48	37.84	23.05	26.13

Fq_L3	37.42	24.12	31.42	29.73

QY_max	0.79	0.79	0.78	0.79
