FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	47381	60849	53183	68754

Fo	152.87	152.55	145.35	152.59

Fm	715.64	720.85	718.46	722.44

Fv	562.77	568.30	573.11	569.84

Fm_L1	516.82	537.84	503.89	520.97

Fm_L2	406.81	409.57	430.13	399.30

Fm_L3	368.52	388.46	368.07	367.40

Fm_D1	484.67	482.45	484.61	490.97

Fm_D2	592.79	573.34	595.45	604.01

Ft_L1	506.73	531.91	500.21	514.11

Ft_L2	386.87	380.65	388.70	382.86

Ft_L3	340.90	351.30	329.04	339.71

Fq_L1	10.09	5.93	3.68	6.86

Fq_L2	19.93	28.92	41.43	16.45

Fq_L3	27.62	37.17	39.03	27.69

QY_max	0.79	0.79	0.80	0.79
