FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	47127	56274	48372	67971

Fo	149.21	154.22	151.56	153.95

Fm	710.00	689.21	714.23	724.14

Fv	560.80	534.98	562.67	570.19

Fm_L1	517.80	506.20	526.02	529.25

Fm_L2	400.19	389.71	419.89	403.41

Fm_L3	364.20	333.62	348.28	371.68

Fm_D1	482.97	438.51	475.28	486.55

Fm_D2	558.18	540.10	594.67	584.15

Ft_L1	504.67	497.07	514.58	520.11

Ft_L2	363.63	357.59	394.70	371.33

Ft_L3	329.63	311.84	316.79	333.01

Fq_L1	13.14	9.13	11.44	9.14

Fq_L2	36.55	32.11	25.18	32.08

Fq_L3	34.57	21.78	31.49	38.67

QY_max	0.79	0.78	0.79	0.79
