FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	44120	49451	65072	69846

Fo	152.22	148.42	145.22	150.28

Fm	707.97	668.77	699.96	693.34

Fv	555.76	520.35	554.73	543.06

Fm_L1	530.71	471.41	495.20	490.46

Fm_L2	405.71	401.00	384.33	382.08

Fm_L3	378.33	333.79	338.57	363.72

Fm_D1	483.94	437.33	482.15	438.59

Fm_D2	560.45	543.28	583.47	550.90

Ft_L1	527.28	459.26	482.10	480.85

Ft_L2	380.38	379.19	367.87	354.21

Ft_L3	349.99	299.39	311.81	324.89

Fq_L1	3.43	12.14	13.10	9.61

Fq_L2	25.33	21.80	16.46	27.87

Fq_L3	28.34	34.40	26.76	38.83

QY_max	0.78	0.78	0.79	0.78
