FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	75444	43605	39555	73714

Fo	149.06	152.91	151.44	151.46

Fm	719.54	712.69	720.61	712.96

Fv	570.49	559.78	569.17	561.49

Fm_L1	509.30	502.42	532.92	531.32

Fm_L2	425.27	399.61	411.71	396.62

Fm_L3	347.57	364.25	369.86	382.86

Fm_D1	458.76	467.55	472.14	460.94

Fm_D2	579.41	557.18	565.92	572.71

Ft_L1	501.19	485.45	521.24	527.70

Ft_L2	405.47	380.91	372.54	378.05

Ft_L3	326.05	339.44	346.06	357.93

Fq_L1	8.11	16.96	11.68	3.63

Fq_L2	19.80	18.70	39.17	18.57

Fq_L3	21.52	24.81	23.81	24.93

QY_max	0.79	0.79	0.79	0.79
