FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	44458	66039	57696	58788

Fo	152.00	148.18	148.70	151.01

Fm	695.68	721.80	717.76	704.58

Fv	543.68	573.62	569.06	553.57

Fm_L1	489.56	546.98	544.44	518.69

Fm_L2	413.36	425.52	414.59	401.03

Fm_L3	358.73	368.45	358.11	356.05

Fm_D1	478.01	466.73	475.51	468.55

Fm_D2	545.48	584.85	598.87	579.68

Ft_L1	481.92	525.89	532.94	503.57

Ft_L2	374.94	408.33	385.90	364.50

Ft_L3	328.34	345.71	316.97	323.12

Fq_L1	7.64	21.09	11.50	15.12

Fq_L2	38.42	17.19	28.69	36.53

Fq_L3	30.39	22.74	41.14	32.94

QY_max	0.78	0.79	0.79	0.79
