FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	68808	68559	49987	65058

Fo	160.42	153.89	155.87	154.07

Fm	709.60	704.54	718.36	719.63

Fv	549.18	550.65	562.49	565.56

Fm_L1	527.61	497.25	539.39	530.04

Fm_L2	417.33	420.07	421.38	419.94

Fm_L3	379.51	379.43	345.98	374.46

Fm_D1	475.97	456.24	492.62	453.49

Fm_D2	595.29	567.06	573.91	592.23

Ft_L1	520.54	483.11	530.72	521.12

Ft_L2	380.99	379.20	380.82	401.35

Ft_L3	348.37	347.19	310.35	348.68

Fq_L1	7.07	14.14	8.67	8.93

Fq_L2	36.33	40.87	40.56	18.59

Fq_L3	31.14	32.25	35.63	25.78

QY_max	0.77	0.78	0.78	0.79
