FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	45654	54678	68192	68995

Fo	159.16	148.46	148.91	148.52

Fm	677.65	682.13	686.11	692.08

Fv	518.49	533.68	537.20	543.56

Fm_L1	497.71	478.93	508.60	496.87

Fm_L2	378.38	396.69	390.08	379.34

Fm_L3	361.17	354.84	345.72	349.43

Fm_D1	436.70	463.70	436.34	476.03

Fm_D2	535.25	534.93	571.65	573.96

Ft_L1	494.76	473.29	489.58	477.76

Ft_L2	351.41	368.77	353.71	362.61

Ft_L3	333.51	314.59	318.54	319.79

Fq_L1	2.95	5.64	19.02	19.12

Fq_L2	26.96	27.92	36.37	16.72

Fq_L3	27.66	40.25	27.18	29.64

QY_max	0.77	0.78	0.78	0.79
