FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	66926	52445	69464	65254

Fo	151.77	152.66	152.79	156.95

Fm	719.95	687.38	679.99	695.47

Fv	568.17	534.71	527.20	538.52

Fm_L1	541.49	494.20	515.46	499.46

Fm_L2	417.19	395.75	373.02	382.08

Fm_L3	367.72	339.37	355.88	373.01

Fm_D1	476.54	466.66	467.87	477.61

Fm_D2	596.87	543.39	558.00	573.12

Ft_L1	527.81	476.73	509.52	482.02

Ft_L2	396.64	370.15	357.62	364.40

Ft_L3	339.69	311.26	326.47	349.10

Fq_L1	13.68	17.46	5.94	17.44

Fq_L2	20.55	25.60	15.40	17.68

Fq_L3	28.03	28.10	29.42	23.91

QY_max	0.79	0.78	0.78	0.77
