FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	48411	65792	39840	73401

Fo	149.47	150.82	148.22	151.10

Fm	676.83	669.80	673.36	670.31

Fv	527.36	518.97	525.14	519.22

Fm_L1	509.92	501.76	483.31	503.62

Fm_L2	396.90	364.38	375.50	369.91

Fm_L3	365.47	343.24	331.37	359.64

Fm_D1	422.97	435.53	429.35	443.97

Fm_D2	560.09	523.35	549.21	528.69

Ft_L1	496.30	487.07	475.05	499.49

Ft_L2	366.82	342.48	354.31	347.45

Ft_L3	334.67	314.46	291.85	325.58

Fq_L1	13.62	14.69	8.26	4.13

Fq_L2	30.09	21.90	21.19	22.46

Fq_L3	30.80	28.78	39.51	34.06

QY_max	0.78	0.77	0.78	0.77
