FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	53134	57350	70045	66807

Fo	152.56	152.51	152.26	146.98

Fm	649.77	620.60	646.06	641.43

Fv	497.21	468.09	493.80	494.45

Fm_L1	470.84	450.96	454.58	466.16

Fm_L2	383.34	368.38	357.14	365.68

Fm_L3	323.45	324.87	310.31	324.59

Fm_D1	447.75	388.99	418.30	420.87

Fm_D2	529.91	503.02	523.89	536.63

Ft_L1	464.44	447.09	448.76	459.83

Ft_L2	361.84	339.22	338.57	341.05

Ft_L3	304.04	294.58	287.55	301.49

Fq_L1	6.40	3.87	5.82	6.34

Fq_L2	21.50	29.16	18.56	24.64

Fq_L3	19.41	30.29	22.76	23.10

QY_max	0.77	0.75	0.76	0.77
