FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	58884	67371	61075	59354

Fo	154.38	155.38	158.06	154.18

Fm	673.96	707.47	670.54	692.09

Fv	519.58	552.09	512.47	537.91

Fm_L1	478.61	508.93	481.76	500.39

Fm_L2	383.17	407.45	386.35	388.19

Fm_L3	329.69	363.48	340.85	367.67

Fm_D1	447.94	473.62	433.49	435.58

Fm_D2	554.23	570.07	538.38	556.33

Ft_L1	464.89	498.77	470.46	496.21

Ft_L2	353.85	367.75	363.72	372.52

Ft_L3	308.15	332.66	302.69	330.65

Fq_L1	13.72	10.16	11.30	4.19

Fq_L2	29.31	39.70	22.63	15.66

Fq_L3	21.55	30.81	38.15	37.02

QY_max	0.77	0.78	0.76	0.78
