FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	53513	49719	48359	59557

Fo	146.54	152.29	151.54	153.19

Fm	700.85	685.61	689.10	691.91

Fv	554.31	533.32	537.55	538.72

Fm_L1	501.33	505.22	500.15	505.96

Fm_L2	406.69	388.24	397.51	406.66

Fm_L3	364.13	358.11	360.31	356.31

Fm_D1	450.13	433.16	455.23	467.05

Fm_D2	581.22	559.88	537.58	560.55

Ft_L1	486.82	491.79	482.63	487.83

Ft_L2	371.78	372.08	379.92	372.16

Ft_L3	334.85	318.68	336.81	332.11

Fq_L1	14.51	13.43	17.53	18.13

Fq_L2	34.91	16.16	17.59	34.50

Fq_L3	29.28	39.43	23.50	24.20

QY_max	0.79	0.78	0.78	0.78
