FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	71259	69208	73564	60808

Fo	148.76	148.24	148.24	145.83

Fm	652.64	686.13	681.22	672.84

Fv	503.88	537.89	532.99	527.01

Fm_L1	483.59	491.89	498.90	510.31

Fm_L2	363.53	406.70	386.09	386.79

Fm_L3	345.61	339.24	337.20	350.56

Fm_D1	423.46	442.25	446.26	461.88

Fm_D2	525.77	561.83	565.18	530.70

Ft_L1	470.82	475.57	494.88	491.50

Ft_L2	334.30	374.48	353.93	361.21

Ft_L3	311.17	301.73	302.25	328.34

Fq_L1	12.77	16.31	4.01	18.81

Fq_L2	29.24	32.22	32.16	25.58

Fq_L3	34.44	37.52	34.94	22.22

QY_max	0.77	0.78	0.78	0.78
