FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	74562	57884	64324	54072

Fo	153.52	147.53	150.24	150.88

Fm	682.22	708.45	672.58	695.69

Fv	528.70	560.91	522.35	544.82

Fm_L1	488.80	512.95	498.79	489.73

Fm_L2	399.67	397.10	382.80	405.59

Fm_L3	331.21	378.13	348.88	341.79

Fm_D1	440.66	475.63	435.37	444.05

Fm_D2	568.92	588.50	552.31	581.33

Ft_L1	478.05	499.48	483.81	486.12

Ft_L2	373.26	363.18	366.78	369.98

Ft_L3	293.71	340.26	315.33	312.73

Fq_L1	10.75	13.47	14.98	3.61

Fq_L2	26.40	33.92	16.01	35.61

Fq_L3	37.50	37.87	33.55	29.05

QY_max	0.77	0.79	0.78	0.78
