FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	57604	70642	46730	66435

Fo	151.96	148.62	150.34	152.62

Fm	677.99	687.01	683.54	679.15

Fv	526.03	538.38	533.20	526.53

Fm_L1	500.41	519.03	484.43	502.45

Fm_L2	383.28	384.95	381.98	379.08

Fm_L3	357.09	356.21	328.38	364.39

Fm_D1	443.26	458.97	438.15	458.41

Fm_D2	545.71	559.83	541.31	543.37

Ft_L1	482.19	502.86	473.94	495.22

Ft_L2	359.38	353.62	362.00	344.17

Ft_L3	331.68	315.61	301.42	323.07

Fq_L1	18.22	16.18	10.49	7.24

Fq_L2	23.90	31.34	19.98	34.91

Fq_L3	25.41	40.60	26.96	41.31

QY_max	0.78	0.78	0.78	0.78
