FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	69989	67865	47977	38711

Fo	154.29	158.41	153.83	157.16

Fm	716.41	724.31	715.25	719.80

Fv	562.12	565.90	561.41	562.65

Fm_L1	513.06	520.21	514.89	542.30

Fm_L2	396.03	423.84	392.69	391.06

Fm_L3	371.39	387.49	353.31	353.43

Fm_D1	456.50	450.87	478.11	452.29

Fm_D2	560.30	576.62	600.63	569.29

Ft_L1	496.55	504.93	499.32	539.50

Ft_L2	370.75	390.63	370.87	367.10

Ft_L3	340.92	352.53	313.05	329.77

Fq_L1	16.51	15.28	15.57	2.80

Fq_L2	25.28	33.21	21.82	23.96

Fq_L3	30.47	34.96	40.26	23.67

QY_max	0.78	0.78	0.78	0.78
