FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	51526	63314	43238	53306

Fo	151.53	150.31	154.16	143.81

Fm	663.80	676.96	684.70	682.61

Fv	512.27	526.65	530.54	538.80

Fm_L1	476.43	511.75	509.08	491.98

Fm_L2	362.55	398.91	383.33	388.67

Fm_L3	342.11	358.88	351.39	350.76

Fm_D1	444.40	453.72	453.60	430.69

Fm_D2	527.66	556.64	566.91	571.73

Ft_L1	472.48	492.53	492.48	482.92

Ft_L2	331.42	376.23	359.31	349.92

Ft_L3	301.99	328.07	312.91	321.98

Fq_L1	3.95	19.23	16.61	9.06

Fq_L2	31.13	22.68	24.02	38.75

Fq_L3	40.12	30.81	38.48	28.79

QY_max	0.77	0.78	0.77	0.79
