FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	43867	56928	64890	48243

Fo	141.98	143.87	150.65	143.94

Fm	658.05	675.21	669.90	677.19

Fv	516.06	531.34	519.25	533.26

Fm_L1	470.38	483.44	488.30	493.38

Fm_L2	364.30	375.84	384.61	403.14

Fm_L3	336.32	352.40	344.84	354.78

Fm_D1	439.57	431.93	453.31	434.31

Fm_D2	545.76	549.74	543.21	540.59

Ft_L1	451.72	480.15	480.35	489.72

Ft_L2	331.28	348.73	349.30	376.64

Ft_L3	305.74	325.39	308.32	313.24

Fq_L1	18.66	3.29	7.95	3.66

Fq_L2	33.02	27.12	35.31	26.50

Fq_L3	30.58	27.01	36.52	41.54

QY_max	0.78	0.79	0.78	0.79
