FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	45872	51149	65146	44322

Fo	149.72	151.91	151.76	162.07

Fm	677.09	682.69	674.03	664.32

Fv	527.37	530.78	522.28	502.25

Fm_L1	504.47	513.82	499.67	467.54

Fm_L2	369.58	393.03	385.73	384.37

Fm_L3	326.94	362.50	363.10	329.78

Fm_D1	448.66	447.45	418.86	449.99

Fm_D2	533.31	541.94	551.29	541.35

Ft_L1	489.50	495.91	483.08	452.94

Ft_L2	337.39	371.30	356.51	358.73

Ft_L3	289.15	327.98	335.20	305.88

Fq_L1	14.97	17.90	16.60	14.61

Fq_L2	32.18	21.74	29.23	25.65

Fq_L3	37.79	34.53	27.90	23.90

QY_max	0.78	0.78	0.77	0.76
