FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	72220	48989	48897	56771

Fo	152.75	152.98	144.60	154.76

Fm	634.08	646.40	645.57	650.24

Fv	481.33	493.42	500.97	495.48

Fm_L1	481.04	482.77	469.62	458.96

Fm_L2	366.03	365.54	384.07	374.52

Fm_L3	320.37	324.35	340.45	333.19

Fm_D1	402.19	419.93	437.51	439.27

Fm_D2	532.06	515.62	533.56	515.40

Ft_L1	469.89	471.48	461.57	450.11

Ft_L2	337.05	332.31	350.12	355.41

Ft_L3	292.36	300.95	317.38	303.53

Fq_L1	11.15	11.28	8.05	8.86

Fq_L2	28.98	33.23	33.95	19.11

Fq_L3	28.01	23.39	23.06	29.66

QY_max	0.76	0.76	0.78	0.76
