FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	41342	61423	72314	73608

Fo	149.27	147.93	144.93	148.25

Fm	694.37	689.94	690.05	706.71

Fv	545.10	542.01	545.12	558.45

Fm_L1	519.56	488.23	496.15	518.49

Fm_L2	411.57	385.24	375.82	412.91

Fm_L3	340.86	352.44	339.60	374.60

Fm_D1	434.02	447.23	468.19	446.81

Fm_D2	579.91	565.61	553.05	571.60

Ft_L1	513.08	479.22	482.83	501.20

Ft_L2	392.83	353.13	341.58	383.38

Ft_L3	301.36	311.03	306.75	343.67

Fq_L1	6.48	9.01	13.32	17.29

Fq_L2	18.74	32.11	34.24	29.54

Fq_L3	39.50	41.41	32.85	30.93

QY_max	0.79	0.79	0.79	0.79
