FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	55148	46776	41930	38980

Fo	151.98	152.71	154.53	150.93

Fm	700.60	698.95	692.30	696.46

Fv	548.62	546.24	537.77	545.53

Fm_L1	522.30	505.53	486.29	500.87

Fm_L2	390.27	382.09	389.52	380.87

Fm_L3	347.47	376.09	333.79	352.05

Fm_D1	439.41	435.40	465.27	447.94

Fm_D2	548.42	582.15	558.95	579.34

Ft_L1	508.40	497.87	483.28	490.97

Ft_L2	358.00	354.52	360.95	354.68

Ft_L3	313.31	338.51	310.01	324.33

Fq_L1	13.90	7.65	3.01	9.90

Fq_L2	32.26	27.57	28.57	26.19

Fq_L3	34.16	37.58	23.79	27.72

QY_max	0.78	0.78	0.78	0.78
