FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	74583	69114	40283	42270

Fo	155.60	151.32	155.70	160.58

Fm	656.76	690.17	696.12	660.92

Fv	501.17	538.85	540.43	500.33

Fm_L1	471.19	517.17	521.71	481.24

Fm_L2	373.74	400.29	387.88	358.97

Fm_L3	353.69	352.45	350.92	339.59

Fm_D1	423.67	459.58	432.79	445.11

Fm_D2	523.44	564.19	549.80	528.86

Ft_L1	464.78	506.13	506.40	467.33

Ft_L2	339.06	365.62	370.36	343.01

Ft_L3	319.47	328.21	324.65	309.92

Fq_L1	6.40	11.04	15.31	13.90

Fq_L2	34.68	34.67	17.52	15.96

Fq_L3	34.22	24.24	26.27	29.67

QY_max	0.76	0.78	0.78	0.76
