FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	44749	56650	74839	59568

Fo	147.53	147.64	141.38	145.04

Fm	671.41	695.71	688.51	670.69

Fv	523.88	548.07	547.13	525.65

Fm_L1	504.49	499.84	495.46	496.86

Fm_L2	397.11	390.67	384.11	391.28

Fm_L3	325.48	373.66	371.64	331.40

Fm_D1	436.01	454.45	449.31	419.76

Fm_D2	556.46	548.81	545.48	542.70

Ft_L1	491.37	484.59	479.84	493.19

Ft_L2	366.71	371.47	350.81	375.22

Ft_L3	297.85	329.63	349.03	309.95

Fq_L1	13.12	15.25	15.62	3.67

Fq_L2	30.40	19.20	33.30	16.05

Fq_L3	27.63	44.04	22.61	21.45

QY_max	0.78	0.79	0.79	0.78
