FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	54242	69451	50832	68662

Fo	148.46	149.17	149.62	146.08

Fm	670.56	699.01	673.36	677.43

Fv	522.10	549.84	523.74	531.35

Fm_L1	481.30	510.46	500.63	491.58

Fm_L2	369.36	396.26	367.63	404.31

Fm_L3	358.99	354.07	336.28	326.78

Fm_D1	451.60	447.49	438.86	428.45

Fm_D2	557.72	584.70	529.47	543.11

Ft_L1	463.94	493.38	486.92	472.23

Ft_L2	353.96	378.85	347.58	387.54

Ft_L3	322.98	321.10	310.20	291.89

Fq_L1	17.36	17.08	13.71	19.35

Fq_L2	15.41	17.42	20.05	16.77

Fq_L3	36.01	32.96	26.08	34.90

QY_max	0.78	0.79	0.78	0.78
