FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	65593	51189	56441	56847

Fo	155.50	151.50	149.77	152.05

Fm	668.38	674.63	678.76	690.48

Fv	512.88	523.13	528.99	538.43

Fm_L1	493.40	499.05	500.86	500.30

Fm_L2	362.86	402.90	369.63	408.95

Fm_L3	324.18	355.41	357.07	371.63

Fm_D1	457.36	455.04	450.22	446.72

Fm_D2	555.51	536.32	559.86	551.63

Ft_L1	485.00	491.83	491.89	484.13

Ft_L2	342.46	371.24	350.95	381.36

Ft_L3	298.36	331.44	330.34	342.88

Fq_L1	8.40	7.22	8.96	16.17

Fq_L2	20.40	31.66	18.68	27.59

Fq_L3	25.83	23.97	26.73	28.75

QY_max	0.77	0.78	0.78	0.78
